Player,Team,Age,GP,W,L,Min,Ptts Off TO,2nd Pts,FBPS,PITP,OPP Pts off TO,OPP 2nd Points,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD
Paul Millsap,ATL,32,53,32,21,34.2,2.6,1.6,0.8,7.5,11.5,9.3,9,27.1,1,0.8,2.7,4.4
Zach LaVine,MIN,21,47,16,31,37.2,4.1,2,3.9,6,13.5,10.3,10,35.7,0.2,0.8,2.2,2.3
Bradley Beal,WAS,23,51,33,18,34.4,3.4,2.3,3.7,6.7,10.4,10.1,8.2,30.4,0.2,0.8,2.2,3.6
Zach Randolph,MEM,35,50,29,21,24.3,1.9,3.4,0.6,8.1,7.5,5.5,7,19.6,0.1,0.8,2.1,2.7
Clint Capela,HOU,22,43,29,14,23.3,2,2.4,1.3,10.6,8.3,6.4,6.6,24.4,1.3,0.8,2.6,2.1
Andre Drummond,DET,23,56,26,30,30.5,2.2,4.4,1.4,11.7,8.4,6.8,6,26.4,1.2,0.8,2.9,3.7
Terrence Jones,NOP,25,51,19,32,24.8,2.4,1.5,1.8,7.4,7.1,6.5,7.9,23.3,1,0.8,1.3,2.6
Isaiah Whitehead,BKN,21,48,7,41,21.8,0.9,0.6,1.4,3.5,8.6,7.1,6,18.8,0.5,0.8,2.5,1.5
LeBron James,CLE,32,52,39,13,37.5,4.2,2.3,5.6,13,12.5,9.8,10.6,34.5,0.6,0.8,1.7,5.7
Rudy Gay,SAC,30,30,11,19,33.8,4.5,2.2,2.3,7.8,10.8,7.8,11.6,28.1,0.9,0.8,2.6,3.7
Taj Gibson,CHI,31,55,27,28,27.3,1.4,2.6,1,8.3,8.4,6.3,8.5,25.9,0.9,0.8,2.2,2.1
Stephen Curry,GSW,28,55,46,9,33.4,3.9,1.6,6.3,6.2,11.1,9.5,9.5,30.6,0.2,0.7,2.2,3.4
Tony Parker,SAS,34,43,32,11,26.1,1.6,0.6,1.2,5.1,7.5,7.1,7.3,21.6,0,0.7,1.6,1.8
Anthony Davis,NOP,23,53,21,32,36.4,3.2,3.6,1.9,12.5,12.6,9,9.5,32.5,2.5,0.7,2.4,7.1
Tyler Johnson,MIA,24,49,20,29,30.7,2.7,0.9,2.2,4.9,8.8,7.6,6.2,27.1,0.7,0.7,2.5,3
Eric Bledsoe,PHX,27,56,18,38,33.2,3,1.5,3.9,8.1,11.9,8.5,11.9,30.7,0.4,0.7,2.6,4.9
TJ Warren,PHX,23,44,14,30,29,2.1,2.2,2.7,6.8,10.9,7.8,10.9,28,0.4,0.7,2.7,1.6
Mason Plumlee,DEN,26,55,23,32,28.2,1.6,2.1,1.4,7.9,9.6,7.3,7.9,25.1,1.2,0.7,2.7,3.3
Derrick Favors,UTA,25,40,26,14,23.5,1.1,1.2,0.2,5.2,7,4.9,5.7,19.1,0.8,0.7,2.1,1.9
Marquese Chriss,PHX,19,57,18,39,18.8,1.7,1.1,1.3,3.8,7.4,4.6,6.5,17.2,0.6,0.7,3.1,1.9
Montrezl Harrell,HOU,23,46,33,13,19.1,1.8,1.8,1.4,7.5,7.7,6.2,5.1,19,0.7,0.7,2,2.1
Eric Gordon,HOU,28,52,36,16,30.5,2,1.7,2.7,4.2,10.7,8.6,8.5,28.5,0.5,0.7,2,2.1
Maurice Harkless,POR,23,52,21,31,28.9,1.8,1.7,1.8,6,10,7.1,8.5,25.5,0.9,0.7,2.7,1.3
Victor Oladipo,OKC,24,48,27,21,33.7,2.8,1.2,3.6,5.9,11.9,8.9,7.9,32,0.3,0.7,2.3,1.8
Lou Williams,LAL,30,58,19,39,24.2,2.2,1.1,2.6,5.7,9,7.4,6.7,23.8,0.2,0.7,1.2,3.6
Brook Lopez,BKN,28,51,9,42,29.6,2.1,2.1,0.6,9.9,11.7,9.4,8.7,28.4,1.8,0.7,2.6,4.1
Mike Conley,MEM,29,46,26,20,32.7,2.7,1.1,2,5.5,9.3,7.9,9.7,26.3,0.3,0.7,1.7,4
Blake Griffin,LAC,27,36,24,12,33.3,3.8,2.6,4.5,10.3,10.2,7.6,9.9,28.8,0.6,0.7,2.5,5.9
Rudy Gobert,UTA,24,57,35,22,33.5,1.7,3.4,0.9,9,9.9,7.9,7.5,27.5,2.5,0.7,3,5
Paul George,IND,26,50,26,24,35.7,4,1.7,2.6,4.9,12.5,9.3,7.4,29.6,0.3,0.7,2.6,4.2
Jusuf Nurkic,POR,22,46,20,26,18,1.6,2,0.8,6.5,7.8,4.9,5.3,17.4,0.8,0.7,2,2.3
Hassan Whiteside,MIA,27,52,23,29,32.9,2.1,4.8,0.3,12.8,10.3,8.9,8.3,29.7,2.1,0.7,3.1,4.1
Marcin Gortat,WAS,33,55,34,21,34.5,1.6,2.5,0.5,9.3,10.9,9.1,8.2,30.5,1,0.7,3,2.4
Tim Hardaway Jr.,ATL,24,54,31,23,25.1,1.9,1.6,2.7,4.9,8.2,7,5.9,19.7,0.2,0.7,1.2,1.9
Dario Saric,PHI,22,56,21,35,24.4,2.3,1.4,1.2,4.2,9.4,6.6,7.2,21.4,0.3,0.7,1.7,1.9
Harrison Barnes,DAL,24,56,22,34,35.8,2.2,1.2,0.9,8.1,10.5,7.4,9.3,27.6,0.2,0.7,1.6,3.5
Brandon Ingram,LAL,19,58,19,39,27.7,1.2,1.2,0.6,2.9,10.5,8.5,8.8,27.6,0.4,0.7,1.9,2.2
Tristan Thompson,CLE,25,55,39,16,30,1.1,2.2,0.9,6.4,10,7.9,9.7,28.3,1.1,0.7,2.4,2.5
Alex Len,PHX,23,54,16,38,19.7,0.9,1.9,0.5,5,7.9,4.9,6.4,17.3,1.3,0.6,3.1,1.9
Austin Rivers,LAC,24,54,33,21,28.3,1.6,0.4,1.1,5.1,8,8.2,8.5,26.2,0.2,0.6,2.5,2.1
Jordan Clarkson,LAL,24,58,19,39,27.4,2.7,1.2,2.1,6,11.1,8.3,8.4,28.2,0.1,0.6,1.9,1.6
Myles Turner,IND,20,56,29,27,30.9,2.1,2.1,0.7,6.5,11.4,8.8,6.6,26.4,2.1,0.6,3.3,3.5
Brandan Wright,MEM,29,8,6,2,13.8,1.4,0.8,0.8,6,4.9,5,5.1,12.3,0.8,0.6,1.1,1.3
Gordon Hayward,UTA,26,50,32,18,34.6,3.8,1.4,2.5,7,10.3,8.1,7.9,29.6,0.3,0.6,1.6,4.7
Jrue Holiday,NOP,26,42,21,21,32.3,1.8,0.8,2.6,7.2,10.9,7.9,8.4,28.4,0.6,0.6,2.5,2.6
D'Angelo Russell,LAL,21,42,16,26,26.5,2.4,1.2,1.4,3.8,8.7,7.2,9,26.8,0.3,0.6,1.9,2.1
Pau Gasol,SAS,36,39,30,9,26.4,1.4,1.7,0.6,4.4,7.8,6.8,7.6,22.8,1.2,0.6,1.7,2.4
Tyreke Evans,SAC,27,26,13,13,18.2,1.7,0.7,2.4,4.6,5.3,4.5,5.4,16.7,0.2,0.6,1.6,2
Nikola Jokic,DEN,22,49,23,26,26.9,1.3,3.6,1,9.6,10.1,5.8,8.6,26.6,0.8,0.6,3.1,3.2
Ivica Zubac,LAL,19,23,6,17,13.2,0.5,1,0.3,4.3,4.6,4.7,3.8,15.9,0.7,0.6,1.4,0.8
Steven Adams,OKC,23,55,32,23,30.8,1.5,2.7,1.1,9.9,10.4,7.4,6.6,29.2,1.1,0.6,2.4,3.5
Buddy Hield,SAC,23,57,23,34,20.4,1.3,0.6,1.8,2.5,7.8,5.2,5.8,19.6,0.1,0.6,1.4,0.5
Tobias Harris,DET,24,57,27,30,31.6,2.9,1.1,1.8,6.8,9.1,6.5,7.8,27.8,0.5,0.6,1.6,1.9
James Johnson,MIA,30,52,25,27,26.6,1.7,1,1.1,5.9,8.1,6.1,5.5,23.7,1.1,0.6,2.6,2
Josh McRoberts,MIA,29,22,6,16,17.3,0.7,1,0,2,5.1,5.4,4.9,17.7,0.2,0.6,1.4,0.5
Ersan Ilyasova,PHI,29,56,24,32,26.9,2.5,1.9,2.3,4.5,9.9,7.8,8.4,24.6,0.3,0.6,2.5,2.9
Shabazz Muhammad,MIN,24,53,20,33,19.6,1.5,1.5,2.1,4.5,6.9,5.3,5.5,18.8,0.1,0.6,1.2,1.7
Reggie Jackson,DET,26,36,16,20,28.4,2.3,1,1.1,5.4,8.8,5.7,5.8,24.4,0.1,0.6,2.7,3
Klay Thompson,GSW,27,54,46,8,34.1,4.1,2.2,4.4,5.1,10.6,10,9.3,31.6,0.5,0.6,1.9,2.1
Frank Kaminsky,CHA,23,54,22,32,25,1.8,1.1,0.4,4.8,7.5,5.7,7.4,21.5,0.4,0.6,1.7,1.4
Darren Collison,SAC,29,49,21,28,30.9,2.6,1,2.4,4.9,10.1,6.6,9.7,25.1,0.1,0.6,1.9,1.8
Trevor Booker,BKN,29,51,8,43,26.2,1.5,1.6,1.7,7.4,11.9,8.8,8.3,24.2,0.4,0.6,2.2,1.6
Jon Leuer,DET,27,51,25,26,27,1.4,2,1.6,4.9,7.7,5.8,5.3,22.3,0.4,0.6,2.1,1.4
Malcolm Brogdon,MIL,24,55,25,30,25.6,1.7,0.5,1,4.3,8,7.1,6.2,24.4,0.1,0.6,1.8,1.7
Jonathon Simmons,SAS,27,52,42,10,18.1,1.3,0.5,1.3,2.9,6.1,4.4,4.7,15,0.4,0.6,1.9,1.6
Marcus Smart,BOS,22,54,35,19,31.1,2,1.2,0.9,3.7,9.2,8.7,7,26.9,0.4,0.6,2.3,2.9
Carmelo Anthony,NYK,32,56,23,33,34,2.6,2.7,1.3,4.4,12.1,10.6,10.3,33.6,0.5,0.6,2.7,3.9
Kenneth Faried,DEN,27,47,22,25,22.3,1.3,3.2,1.4,7.3,8.5,5.6,7.4,21.9,0.7,0.6,2.1,2.8
Thaddeus Young,IND,28,49,27,22,31.1,1.9,1.8,1.8,7.2,10.5,8.7,6.5,26.9,0.5,0.6,1.9,1.5
Dwight Howard,ATL,31,51,28,23,29.5,1.6,4.5,0.8,10.4,10.9,8.5,8,23.3,1.3,0.5,2.9,4.3
Draymond Green,GSW,26,53,44,9,32.9,1.6,1.3,2.1,4.9,11.1,9.9,8.5,29.9,1.5,0.5,3,2.8
Markieff Morris,WAS,27,53,32,21,32.1,2.2,1.5,1,6.4,9.5,8.2,7.9,27.7,0.6,0.5,3.3,2.7
James Ennis III,MEM,26,44,25,19,25.4,1.9,1.2,1.4,3,8.5,6.1,8,20.5,0.3,0.5,2.9,1.5
Bismack Biyombo,ORL,24,57,21,36,23.3,0.7,1,0.6,4.3,7.6,6.9,5.9,21.6,1.3,0.5,2.4,2.6
Michael Carter-Williams,CHI,25,26,15,11,22.3,1.1,0.5,1.5,4.4,6.9,4.1,7.2,20.4,0.4,0.5,2.6,2.2
DeAndre' Bembry,ATL,22,26,13,13,10.3,0.3,0.3,0.7,2.4,2.7,2.5,3.5,8.2,0.1,0.5,0.6,0.7
Brandon Knight,PHX,25,54,16,38,21.1,1.9,0.6,2.1,4,8.4,5.8,7.2,19.8,0.1,0.5,1.6,2.6
Doug McDermott,CHI,25,44,22,22,24.5,1.1,1.1,1.1,3.1,8.8,5.9,7.2,23.2,0.1,0.5,1.3,1.1
Evan Turner,POR,28,50,23,27,26.2,0.9,0.9,1,3.8,8.8,7.4,7.2,22.2,0.3,0.5,1.8,1.7
Wilson Chandler,DEN,29,50,23,27,30.9,1.9,2.4,1.9,7.5,11.6,7.3,9.5,29.3,0.4,0.5,2.4,2.2
Rodney Stuckey,IND,30,25,10,15,18.6,0.8,0.5,1.3,2.4,5.7,4.4,4.4,13.6,0,0.5,1.4,2.2
Aaron Gordon,ORL,21,56,21,35,27.6,2,1.9,1.8,5,9.1,7.6,7.7,26.9,0.4,0.5,2.1,1.9
Spencer Dinwiddie,BKN,23,33,2,31,21.4,1.4,0.4,0.8,2.3,8.1,5.7,6.4,21.1,0.4,0.5,2,1.6
Tim Frazier,NOP,26,41,15,26,25.1,1.3,0.5,1.5,3.5,7.9,6.1,7,21.1,0.1,0.5,2.3,2.4
Kristaps Porzingis,NYK,21,49,21,28,33.1,2.4,2.2,1.8,6.2,11.3,9.7,10.2,30.4,2,0.5,3.9,3.4
Nicolas Batum,CHA,28,53,23,30,34.6,2.2,1.4,1.2,3.2,9.5,8.8,9.3,29.4,0.4,0.5,1.6,2.4
Jonas Valanciunas,TOR,24,55,32,23,26.9,1.5,2.8,0.5,8.4,7.8,7.3,7.2,24,0.7,0.5,2.8,2.8
David Lee,SAS,33,55,42,13,18.6,0.9,1.6,0.9,5.5,6,4.3,5.1,15.8,0.4,0.5,1.6,1.2
Andre Roberson,OKC,25,57,32,25,30.6,1.6,0.9,1.6,4,10.7,7.6,6.8,29.8,1,0.5,2.4,1.2
Al Jefferson,IND,32,57,29,28,14.6,1.2,1.2,0.1,5.9,4.3,3.1,4,11.3,0.3,0.5,1.9,1.2
Marvin Williams,CHA,30,50,20,30,28.5,1.7,1.9,1,3.4,7.4,7.5,7.8,23.6,0.5,0.5,1.7,1.5
Rondae Hollis-Jefferson,BKN,22,52,8,44,21.8,1.4,0.8,1.6,4,8.8,7.5,7.1,21.8,0.5,0.5,2.3,2.4
Jordan Farmar,SAC,30,2,1,1,17.7,0,0,0,0,11,6.5,5.5,17,0,0.5,0.5,0.5
Khris Middleton,MIL,25,4,2,2,19.8,1.5,0,0.5,2.5,7.5,5.8,5.3,20.5,0.3,0.5,3.3,2.8
Delon Wright,TOR,24,2,1,1,18.7,3,0,3,3,8,1,2,10,0.5,0.5,1,2
Jarell Martin,MEM,22,40,23,17,13.4,0.4,0.8,0.6,1.7,4.9,3.4,4.1,9.8,0.2,0.5,2.3,0.9
JaMychal Green,MEM,26,56,33,23,28.5,1.7,2.2,0.9,3.9,8.6,6.8,7.8,21.9,0.5,0.5,3.5,2.1
Lamar Patterson,ATL,25,4,1,3,7.6,0.8,0,0,1,1.8,1.8,1.8,6,0,0.5,1.5,0.5
Ramon Sessions,CHA,30,50,23,27,16.2,0.4,0.3,0.9,2.6,5.5,4,4.6,14.4,0.1,0.5,0.9,1.7
Gorgui Dieng,MIN,27,57,22,35,32,1.4,1.6,0.7,5.1,11,8.6,8.9,29.7,1.1,0.5,3.2,2.1
D.J. Augustin,ORL,29,57,21,36,20.7,1.6,0.5,1.1,1.8,7.2,5.9,5.4,19.2,0,0.5,1.4,2
Cory Joseph,TOR,25,55,31,24,22.6,1.2,0.6,1.1,4.1,6.8,6.5,5.9,20.4,0.1,0.5,1.7,1.9
Timofey Mozgov,LAL,30,53,16,37,20.5,1,1.4,0.8,4.8,8.2,4.6,7.6,19.1,0.6,0.5,2.4,1.7
LaMarcus Aldridge,SAS,31,51,39,12,32.3,2.3,3.5,0.8,6.5,8.7,8.3,9.2,27.8,1.1,0.5,2.4,3.5
Mindaugas Kuzminskas,NYK,27,47,18,29,14.6,1.1,1,0.9,2.8,5.7,4.2,3.5,14.2,0.2,0.5,1.2,0.9
Timothe Luwawu-Cabarrot,PHI,21,43,16,27,11.5,0.8,0.1,0.9,1.8,4.2,2.9,3.8,9.2,0.1,0.5,1.6,0.8
Derrick Williams,CLE,25,29,8,21,16.2,0.6,0.7,1.1,2.5,4.5,4.7,3.5,16.1,0.2,0.5,1.3,1.8
PJ Tucker,PHX,31,57,18,39,28.5,1.4,1.3,1.4,2.9,10.1,7.8,9.2,25.1,0.2,0.5,2.5,1.5
Robin Lopez,CHI,28,57,28,29,28,0.9,2.8,0.3,6.1,8.4,6.4,8.8,25.5,1.6,0.5,1.9,1.5
Jordan McRae,CLE,25,36,25,11,10.6,0.5,0.4,0.4,1.2,3.9,3.4,3.1,9.7,0.2,0.5,0.8,0.8
Willy Hernangomez,NYK,22,49,20,29,15.7,1.2,2,0.5,4.9,5.4,4.6,4,15.6,0.5,0.5,1.6,1.4
Ed Davis,POR,27,45,18,27,17.2,0.5,1.4,0.1,3.3,5.9,4.2,4.6,14,0.5,0.5,3,1.4
Ish Smith,DET,28,56,27,29,23.5,0.8,0.4,1.4,4.5,5.7,5.3,5.4,20.1,0.4,0.5,1.5,1.3
Kevin Durant,GSW,28,56,47,9,34.1,4.8,2.4,5.8,10.4,11.1,9.9,9.5,31.6,1.7,0.5,1.9,4.7
Joe Harris,BKN,25,48,9,39,22,1,1,0.8,2.5,10.3,7,6.9,21,0.1,0.5,2.4,0.9
Tarik Black,LAL,25,46,18,28,16.3,0.6,1.9,0.5,4.6,5.7,5,4.3,13.9,0.5,0.5,2.8,1.7
Patrick Beverley,HOU,28,44,31,13,30.5,2.4,1.2,1.2,3.5,10.5,8,8.1,31.1,0.4,0.5,3.3,2.3
Nikola Vucevic,ORL,26,55,20,35,28.5,2.1,2.3,0.6,6.7,8.9,7.6,7.8,26.4,1,0.5,2.4,1.9
Norman Powell,TOR,23,53,31,22,17.3,1.5,0.6,1.6,3.5,5.1,4.8,4.5,15.9,0.2,0.5,1.6,1.2
Kawhi Leonard,SAS,25,51,39,12,33.5,4.1,2.3,3.1,7,9.2,8.5,8.8,28.2,0.7,0.5,1.5,5.4
Yogi Ferrell,DAL,23,20,7,13,24.1,1.8,1,1.2,2.4,7.7,5.1,7.1,20.9,0.2,0.5,1.8,2.2
Arron Afflalo,SAC,31,49,21,28,25.6,1,0.7,0.4,1.8,9.7,6.1,8.7,21.9,0.1,0.4,1.8,1.4
J.J. Barea,DAL,32,18,6,12,24.7,1.6,0.9,0.4,3.8,6.6,6.7,6.4,19.7,0.1,0.4,0.7,2.7
Chandler Parsons,MEM,28,27,16,11,19.4,1.7,0.3,0.7,2.4,5.1,4.4,5.6,17,0.1,0.4,1.3,1.1
Luc Mbah a Moute,LAC,30,54,33,21,22.5,1.2,0.6,1,2.7,7.2,6,6.8,19.1,0.5,0.4,1.7,1
Willie Cauley-Stein,SAC,23,50,21,29,13,1.1,0.7,0.5,4.7,5.2,3.4,3.7,10.6,0.5,0.4,1.8,0.9
Kelly Olynyk,BOS,25,50,33,17,21.5,1.4,1,0.6,4.5,6.8,6.9,4.6,18.8,0.4,0.4,2.6,1.8
Rajon Rondo,CHI,31,48,23,25,26.3,0.6,0.8,0.9,3.2,9,6.3,7.6,25.3,0.2,0.4,2,0.9
Nene,HOU,34,48,33,15,17.1,1.4,0.8,0.4,5.2,5.6,3.7,4.8,15.8,0.6,0.4,2.5,2.3
Jaylen Brown,BOS,20,53,34,19,15.5,1.5,0.5,1.3,3.1,4.9,3.8,3.3,12.7,0.2,0.4,1.7,1.3
Al-Farouq Aminu,POR,26,37,16,21,29.1,0.9,1.4,0.7,3.1,9.2,7.2,7.6,23.6,0.6,0.4,1.8,1.6
Serge Ibaka,TOR,27,56,21,35,30.5,2.2,2.4,1.7,5.7,10.2,8.1,8.8,30.4,1.6,0.4,2.5,1.7
