Player,Team,Age,GP,W,L,Min,Ptts Off TO,2nd Pts,FBPS,PITP,OPP Pts off TO,OPP 2nd Points,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD
Kelly Oubre Jr.,WAS,21,53,32,21,20.7,1.7,0.9,1.4,2.3,7.7,6.8,4.9,18.3,0.2,0.4,2.5,1.1
Jerami Grant,OKC,22,56,29,27,21.2,1,0.6,1,2.9,7.3,5.7,6.1,21.9,1.2,0.4,2,1.5
Dwight Powell,DAL,25,56,22,34,18.3,1.1,0.8,0.3,4.2,4.9,5.2,4.8,15.8,0.6,0.4,1.9,1.7
Danilo Gallinari,DEN,28,44,20,24,34.2,1.7,2,2,3.9,13.2,8.7,10.3,34.7,0.3,0.4,1.5,4.4
Ryan Anderson,HOU,28,55,38,17,30.8,1.6,2.3,1,2.6,11.3,8.6,8.8,32.1,0.2,0.4,2.1,1.9
Fred VanVleet,TOR,22,21,14,7,6.9,0.7,0.6,0.1,0.9,2,1.1,2.2,6,0,0.4,0.9,0.4
Joffrey Lauvergne,OKC,25,50,30,20,14.8,0.8,0.7,0.6,3,5.1,3.9,3.8,15.6,0.1,0.4,1.4,1.1
Matthew Dellavedova,MIL,26,50,22,28,26.5,0.8,0.6,0.5,2.5,9.9,7.2,6.1,22.5,0,0.4,2,1.4
Jodie Meeks,ORL,29,24,10,14,21.7,1.3,1.2,1.1,1.5,6.7,5.8,6,23.3,0.1,0.4,1.2,1.5
Wade Baldwin IV,MEM,20,24,15,9,12.9,0.5,0.3,0.4,1.3,5.6,3.5,4.4,11.6,0.3,0.4,1.3,1.1
E'Twaun Moore,NOP,27,51,21,30,24.7,1.7,0.6,1.6,4,7.8,6.9,7.5,22.2,0.5,0.4,1.9,0.8
Gerald Henderson,PHI,29,51,19,32,24,2,0.8,1.7,3.1,9,6.8,7.8,21.5,0.2,0.4,1.7,1.9
Domantas Sabonis,OKC,20,57,32,25,21.7,0.9,0.5,0.5,2.9,7.5,5.3,4.6,20.6,0.4,0.4,2.5,0.8
Seth Curry,DAL,26,52,21,31,28.2,2.4,1.1,1,3.2,8,6.3,6.9,21.8,0.1,0.4,1.9,1.3
Thabo Sefolosha,ATL,32,44,26,18,25.8,1.9,0.9,1.4,3.5,8.9,6.9,7,20.8,0.5,0.4,1.5,1.1
Jared Sullinger,TOR,24,11,2,9,10.7,0.7,0.6,0,1.6,2.5,1.5,4,6.7,0.1,0.4,1.5,0.8
Omri Casspi,NOP,28,22,9,13,18,1.4,0.5,1.5,3.8,7.1,4.8,6.4,13.2,0,0.4,1,1.3
Michael Beasley,MIL,28,47,20,27,16.8,1.5,1,1,4.7,5.7,4.9,4.3,14.4,0.5,0.4,1.6,1.4
Dewayne Dedmon,SAS,27,50,37,13,17.3,1.2,1.3,0.4,4.2,5.4,3.9,4.2,12.3,0.8,0.4,2.4,1.3
Wesley Matthews,DAL,30,53,21,32,35.4,2.8,1.9,1.8,3.1,10.6,7.7,9.3,27.8,0.2,0.4,2.2,3.2
Josh Richardson,MIA,23,28,7,21,31.3,1.5,0.9,1.2,2.5,9.4,7.6,6.5,27.9,0.5,0.4,2.6,1.8
Jamal Murray,DEN,20,56,25,31,19.9,1.1,0.7,1.2,2.9,7.5,4.4,5.7,19.2,0.3,0.4,1.4,1.3
Toney Douglas,MEM,30,14,11,3,17.2,1.2,0.6,0.6,1.3,5.5,3.4,5.6,12.4,0.2,0.4,2.1,1.4
Richaun Holmes,PHI,23,31,9,22,15.9,0.7,1.1,0.6,4.4,6.7,4.4,5.9,15.1,0.8,0.4,2,1.2
Pascal Siakam,TOR,22,48,31,17,16.8,1,0.9,0.9,3.1,6,4.1,5.2,15.2,0.9,0.4,2.1,0.5
Ricky Rubio,MIN,26,51,19,32,32.1,1.4,1,1.3,1.7,11.3,8.9,9.2,29.6,0.1,0.4,2.5,2.9
Aron Baynes,DET,30,54,26,28,15.5,0.6,1.2,0.1,2.8,4,3.3,4,13.3,0.4,0.4,2.2,1.6
Matt Barnes,SAC,36,54,22,32,25.3,1.3,1.1,1,2.4,8.7,5.7,7.5,19.6,0.3,0.4,2.6,1
John Henson,MIL,26,46,20,26,20.2,0.7,1.5,0.2,5,6.5,6.2,5.4,18.5,1.3,0.3,2.6,2
Shelvin Mack,UTA,26,46,27,19,21.4,1.1,0.6,0.6,3.5,8.3,5.2,4.7,19.3,0,0.3,1.7,1
Corey Brewer,HOU,30,58,40,18,15.9,0.8,0.5,0.9,2.3,5.6,4.8,3.6,14.9,0.2,0.3,1.8,0.8
Rodney McGruder,MIA,25,53,24,29,26.2,1.1,1.2,1.1,2.5,7.7,7.5,6.2,24.8,0.2,0.3,1.9,1
Amir Johnson,BOS,29,56,36,20,19.7,0.7,1.4,0.4,4.7,5.4,5.7,5,17.2,0.7,0.3,2.6,1.4
Jameer Nelson,DEN,35,56,25,31,26.3,1,0.5,1.3,2.7,9.5,6.1,7.4,23.9,0.1,0.3,2.7,1
CJ Miles,IND,29,51,26,25,23.1,1.7,1.3,1.2,2,7,5.8,5.6,17.9,0.4,0.3,2.1,1.1
Dante Cunningham,NOP,29,42,18,24,25.1,0.7,1,0.9,2,8.4,5.5,7.1,23.5,0.5,0.3,1.6,0.5
Troy Williams,MEM,22,24,15,9,17.4,2.1,0.6,1.9,3.1,4.5,4.9,4.8,12.2,0.4,0.3,1.8,0.8
Greivis Vasquez,BKN,30,3,1,2,12.9,1,0,1.7,0,4.3,3.3,3.7,15.3,0.3,0.3,2,0.3
Kentavious Caldwell-Pope,DET,24,52,24,28,33.8,2.9,0.9,2.8,3.1,8.4,7.5,6.6,28.9,0.2,0.3,1.7,1.9
Manu Ginobili,SAS,39,49,37,12,18.4,1.4,0.5,1,1.9,6.1,4.4,5.5,16.4,0.3,0.3,1.7,1.7
JJ Redick,LAC,32,53,34,19,28.3,2.1,1.4,2,1.7,8.5,7.9,8.5,24,0.2,0.3,1.6,2
Georges Niang,IND,23,22,11,11,4.1,0.3,0,0.1,0.7,1.2,1.7,0.6,3.1,0,0.3,0.3,0.1
Raymond Felton,LAC,32,54,34,20,22.8,1.1,0.6,1.2,3.4,7.1,6.8,7.3,21.7,0.4,0.3,1.8,0.8
Ian Clark,GSW,25,51,43,8,14.2,0.7,0.4,0.9,2.5,5.6,4.8,3.8,13.4,0.1,0.3,1,0.7
Noah Vonleh,POR,21,48,20,28,13.2,0.3,0.9,0.1,1.7,4.4,2.6,3.1,10.7,0.3,0.3,1.7,0.8
Ben McLemore,SAC,24,42,20,22,17.9,1,0.9,1.1,1.9,6.6,3.8,5.4,13,0.1,0.3,1.4,0.9
Kyle O'Quinn,NYK,26,55,22,33,15.3,0.6,1.9,0.4,4,6,4.7,4.3,14.7,1.4,0.3,2.1,1.1
Terry Rozier,BOS,22,52,33,19,18.1,0.9,0.4,1,1.9,4.8,5,4,14.7,0.2,0.3,1,1.2
Alexis Ajinca,NOP,28,23,8,15,15.2,0.4,0.8,0.1,2.8,5.7,5.2,3.7,14.4,0.7,0.3,1.9,1
Anthony Bennett,BKN,23,23,3,20,11.5,0.3,1.3,0.2,2.2,5.3,4.5,4.3,12.3,0.1,0.3,0.8,1.1
Marreese Speights,LAC,29,56,35,21,16.5,0.9,1.4,0.6,3,4.7,4.7,4.2,15.3,0.5,0.3,2.9,2.2
DeAndre Jordan,LAC,28,56,35,21,31.3,1.4,3.2,1.1,9.5,9.6,8.4,10.1,27,1.7,0.3,2.6,4.1
Jeff Green,ORL,30,56,21,35,23.2,1.4,1,1.6,3.3,7.1,7.4,6,21,0.2,0.3,1.4,2.1
Marcus Thornton,WAS,29,33,15,18,17.4,0.9,0.9,0.4,2.4,6.4,4.8,4.9,16.1,0.1,0.3,1.5,1
Leandro Barbosa,PHX,34,53,16,37,13.1,1.3,0.6,1.1,2.5,4.3,3.5,3.3,11.1,0.1,0.3,1.1,0.7
Maurice Ndour,NYK,24,20,6,14,7.2,0.5,0.4,0.5,1.3,2.6,2.1,1.6,5.7,0.1,0.3,0.8,0.4
Miles Plumlee,CHA,28,37,16,21,10.2,0.4,0.3,0.1,2,4.5,2.9,2,9.6,0.3,0.3,1.5,0.9
Jonathan Gibson,DAL,29,17,4,13,13.6,0.8,0.5,0.9,1.3,4.9,3.1,3.8,12.5,0,0.3,1.2,1.4
Justin Hamilton,BKN,26,48,8,40,19.6,1.1,1.5,0.4,3.2,8.3,5.6,6.3,19.5,0.8,0.3,1.4,0.8
Willie Reed,MIA,26,48,24,24,14.6,1,1.5,0.5,4.2,4.1,3.3,3.2,13.9,0.7,0.3,1.7,1.3
Marc Gasol,MEM,32,55,33,22,34.4,2.6,1.2,0.6,7.8,9.6,7.7,9.8,26.3,1.4,0.3,2.4,4.5
Hollis Thompson,PHI,25,31,9,22,18.1,0.5,0.5,0.3,1.9,7,4.6,6.7,15.8,0.2,0.3,1.8,0.5
DeAndre Liggins,CLE,28,45,32,13,14.3,0.4,0.3,0.5,1.2,5.1,3.4,4.7,13.2,0.3,0.3,1.4,0.9
Alec Burks,UTA,25,21,13,8,15.2,1.5,0.3,1.3,2.4,4.5,3.3,4,13.2,0.1,0.3,1.4,1.5
Roy Hibbert,MIL,30,42,19,23,16,0.5,1.2,0.2,2.9,4.8,4,4.6,12,1,0.3,2.3,1.5
Kay Felder,CLE,21,35,23,12,9.8,0.6,0.1,0.3,1.4,3.9,2.8,2.1,7.3,0.2,0.3,1,0.9
Marcus Morris,DET,27,56,27,29,33,1.6,1.4,1.2,3.1,8.5,7,6.7,28.5,0.3,0.3,2,2.2
Devin Harris,DAL,33,39,18,21,16.7,1.3,0.3,0.9,1.5,5.1,4.8,4.7,14.4,0.1,0.3,1.5,2.1
Tyler Ulis,PHX,21,36,9,27,9,0.4,0.1,0.3,1.1,2.6,2.4,2.2,7.4,0,0.3,0.8,0.4
Malik Beasley,DEN,20,18,8,10,4.9,0.5,0.3,1,1.1,1.8,1.1,1.7,4.2,0,0.3,0.3,0.4
Treveon Graham,CHA,23,18,8,10,5.9,0.1,0,0.3,0.2,1.6,1.6,1.4,4.2,0,0.3,0.8,0.4
Nerlens Noel,PHI,22,29,14,15,19.5,2.4,1.6,1.2,6.6,6.3,5.2,4.4,17.2,0.9,0.3,2.4,2.2
Sam Dekker,HOU,22,58,40,18,19.7,1.4,1.2,1.9,4,7.5,5.3,5.3,18.3,0.3,0.3,1.2,0.7
Rodney Hood,UTA,24,40,27,13,28.6,1.5,0.7,0.8,3.8,8.8,7.4,6.1,23.8,0.2,0.3,2.3,1.9
Semaj Christon,OKC,24,40,21,19,14.8,0.4,0.2,0.3,1.7,4.6,3.5,3.9,15.2,0.1,0.3,1.3,0.6
Glenn Robinson III,IND,23,55,28,27,21.9,1.1,0.7,0.9,1.9,7.3,5.5,5.3,17.6,0.3,0.3,0.9,1.1
Al Horford,BOS,30,45,30,15,32.9,1.7,1.1,0.6,5.5,10.3,9.8,8.5,29.2,1.5,0.3,2.2,1.8
Dirk Nowitzki,DAL,38,30,13,17,26,2,1,0.5,2.4,7.5,5.9,7.6,21.5,0.7,0.3,2,2.6
Justin Holiday,NYK,27,57,23,34,19.6,0.9,0.6,0.6,1.7,6,5.5,4.4,16.3,0.4,0.3,1.5,0.9
Kosta Koufos,SAC,27,57,24,33,19.1,0.7,1.4,0.3,5.5,6.4,4.1,6.2,14.7,0.6,0.3,2.3,0.8
Boban Marjanovic,DET,28,23,12,11,6.9,0.3,1.1,0.2,2.4,1.5,0.4,1.6,4.5,0.3,0.3,0.5,0.8
Aaron Brooks,IND,32,46,26,20,14.3,0.7,0.5,0.4,1.5,4.6,3.6,3.4,11,0.2,0.3,1.4,0.8
Joakim Noah,NYK,31,46,17,29,22.1,0.6,2.1,0.2,4.3,7.4,6.3,7.5,21.1,0.8,0.3,2.8,1.8
Dejounte Murray,SAS,20,31,24,7,7.8,0.8,0.2,0.6,2.1,2.2,1.9,1.6,6.5,0.1,0.3,0.7,0.6
Solomon Hill,NOP,25,55,23,32,28.5,0.7,0.6,1.4,2,9.6,7.2,7.8,26.5,0.4,0.3,2.3,1.3
Dorian Finney-Smith,DAL,23,55,22,33,20.8,1.1,0.6,0.6,1.5,6.2,5.2,5.4,16.1,0.3,0.3,1.7,0.7
Pierre Jackson,DAL,25,8,4,4,10.6,1.4,0,0.9,1.8,1,3.6,1.9,6.5,0,0.3,0.6,1.1
Malcolm Delaney,ATL,27,56,32,24,17.7,1.1,0.7,0.6,0.9,5.3,4.3,4.1,13.6,0,0.3,1.6,1.7
Jamal Crawford,LAC,36,56,35,21,26.9,1.7,0.7,1.6,2.7,8.4,7.3,7.9,24.9,0.2,0.3,1.4,2
Gerald Green,BOS,31,36,26,10,11.4,0.6,0.8,0.4,1.5,3.1,3.1,2.4,9.9,0.1,0.3,1.1,0.4
Chasson Randle,PHI,24,8,1,7,9.2,0.5,0.6,0.6,1.5,3.4,3.3,1.4,10,0.1,0.3,1.4,1.1
Trey Lyles,UTA,21,57,35,22,18.3,1.2,1,0.5,2.5,6,4.4,4.2,16.2,0.3,0.2,1.4,0.9
Wayne Ellington,MIA,29,37,19,18,26.2,1.6,1.2,1.2,1.1,8.1,6.6,7.5,25.5,0.1,0.2,1.3,0.8
Taurean Prince,ATL,22,33,17,16,10.7,0.9,0.1,0.8,1.1,3.8,3,2.7,8.2,0.3,0.2,1.2,0.9
Vince Carter,MEM,40,50,27,23,24,0.8,0.6,0.4,1.9,7.3,5.4,6.4,18.2,0.5,0.2,2.3,1.5
JR Smith,CLE,31,21,16,5,28.9,1.6,1.1,1.4,0.7,9.2,9.7,6.8,29,0.4,0.2,2.2,0.8
T.J. McConnell,PHI,24,55,20,35,24.9,1.1,0.6,0.8,4.1,9.5,7.3,7.9,23.1,0.1,0.2,1.7,1.2
AJ Hammons,DAL,24,17,3,14,4.5,0.2,0.2,0.1,0.4,1.7,1,1.3,3.9,0.4,0.2,0.6,0.5
Tyson Chandler,PHX,34,47,15,32,27.6,1.2,3.3,0.6,6.5,10.1,6.9,9.6,23.8,0.5,0.2,2.7,2.2
Kevon Looney,GSW,21,43,37,6,9.3,0.4,0.7,0.2,2.3,4,2.4,3.1,8.7,0.4,0.2,1.4,0.7
Randy Foye,BKN,33,43,6,37,18.9,0.5,0.4,0.6,1.4,7.2,6.2,5.4,18,0.2,0.2,1.4,0.8
Cristiano Felicio,CHI,24,48,23,25,15.7,0.4,2,0.4,3.4,5.4,3.4,4.2,14.6,0.3,0.2,1.7,1.1
Kris Dunn,MIN,22,53,21,32,16.6,0.8,0.3,0.5,1.4,6,4.5,4,15.1,0.5,0.2,2.1,1
Jason Smith,WAS,30,53,33,20,13.4,0.5,0.8,0.1,1.6,4.7,4.6,3.3,10.9,0.7,0.2,2.3,0.8
Trevor Ariza,HOU,31,58,40,18,34.6,2.4,1.5,2.6,3,12.7,9.1,10.4,35.4,0.3,0.2,1.6,1.5
Anthony Tolliver,SAC,31,45,20,25,23.2,1.1,0.7,0.5,1.6,8.8,5.6,7.1,18.5,0.2,0.2,1.7,1.2
Mike Scott,ATL,28,18,7,11,10.8,0.4,0.7,0.4,1.1,2.7,2.7,2.9,8.8,0.2,0.2,0.7,0.6
Jeremy Lamb,CHA,24,36,15,21,17.1,1.4,1.1,1,3.6,5.4,4.3,4.4,14.4,0.3,0.2,1.5,1.7
Luis Scola,BKN,36,36,7,29,12.8,0.8,1.4,0.6,2.8,5.8,3.8,3.6,11.8,0.1,0.2,1.8,0.9
Stephen Zimmerman,ORL,20,9,3,6,4,0,0.2,0,0.7,0.9,0.9,0.6,3.6,0.1,0.2,0.2,0
Lance Thomas,NYK,28,32,11,21,17.4,0.5,0.7,0.4,1.3,6.2,5.2,5.5,15.3,0.1,0.2,1.8,0.7
Langston Galloway,SAC,25,55,22,33,20.4,1.3,0.7,1.7,1,6.4,5.5,5,18.9,0.1,0.2,1.4,0.7
Patrick McCaw,GSW,21,46,38,8,12.4,0.5,0.5,0.6,1,5,3.2,4.2,12.4,0.2,0.2,0.8,0.4
Marcelo Huertas,LAL,33,23,5,18,10.3,0.5,0.2,0.4,1.2,4,3.2,3.8,10.8,0.1,0.2,0.7,0.6
Brandon Bass,LAC,31,37,21,16,11.8,1.1,0.6,0.8,3.1,4.2,3.8,3.9,12.5,0.2,0.2,0.9,1.2
Justin Anderson,DAL,23,51,19,32,13.9,1.3,1.2,0.7,2.8,4,3.5,3.5,11.5,0.3,0.2,1.3,1.2
Sergio Rodriguez,PHI,30,51,18,33,22.7,1.4,1,1,2,8.4,5.7,7.4,19.7,0.1,0.2,1.4,0.5
Ron Baker,NYK,23,28,7,21,11.7,0.5,0.4,1,1.1,4.2,3.1,2.5,10.2,0.1,0.2,1,0.8
Lavoy Allen,IND,28,42,22,20,14,0.4,0.7,0.1,1.4,5.5,3.8,3.9,11.3,0.3,0.2,1.2,0.4
Chris McCullough,BKN,22,14,0,14,5.2,0.4,0.4,0.6,1.4,1.1,1.6,0.8,4.3,0.1,0.2,0.5,0.1
Isaiah Canaan,CHI,25,33,15,18,17.3,1.3,0.6,1.1,1.5,6.2,4.9,4.8,17.2,0,0.2,1.1,0.9
Troy Daniels,MEM,25,43,24,19,17.3,1,0.7,0.9,0.6,5.1,3.9,4.3,11.9,0.1,0.2,1.4,1
Danny Green,SAS,29,48,37,11,26.7,1.1,0.9,1.2,1.3,7.3,7.2,7,22.2,0.8,0.2,1.8,0.6
James Michael McAdoo,GSW,24,29,24,5,9.1,0.1,0.6,0.6,2.2,3.4,3.2,2,8.7,0.5,0.2,0.9,0.5
KJ McDaniels,HOU,24,29,21,8,7.3,0.6,0.4,0.6,1.5,2.4,2.2,1.7,6.8,0.3,0.2,0.8,0.3
Bobby Portis,CHI,22,39,17,22,12.1,0.8,1.4,0.4,2.3,3.7,3,3.3,12,0.2,0.2,1.2,0.6
Ian Mahinmi,WAS,30,5,4,1,13.5,0,0,0,1.2,5.6,7.6,2.8,10.4,0.6,0.2,2.6,1.4
Briante Weber,GSW,24,5,4,1,8.1,1,0,0.6,0.8,2,3,4,7.2,0.2,0.2,0.6,0.6
Patty Mills,SAS,28,55,43,12,21.3,1.7,0.5,1.3,1.7,6.6,4.8,5.9,18.4,0,0.2,1.4,1.3
Jordan Hill,MIN,29,5,2,3,7.9,0.8,0.8,0,0.8,1.8,2.2,1.2,6.4,0,0.2,1.8,0.6
Jonas Jerebko,BOS,29,56,37,19,16.6,0.6,0.7,0.5,1.6,4.8,4.7,4,14.9,0.3,0.2,1.7,0.6
Nick Young,LAL,31,51,18,33,26.5,2.6,1.8,2.4,1.6,9.4,7.4,8.8,25.9,0.3,0.2,2.4,1.5
JaVale McGee,GSW,29,51,42,9,9.6,0.9,1.2,0.7,5.5,3,2.8,2.6,8.3,0.7,0.2,1.5,1
Mario Hezonja,ORL,21,41,12,29,11.4,0.6,0.4,0.9,1.1,4,3.6,3.2,11.4,0.2,0.2,1,0.5
David West,GSW,36,42,36,6,11.5,0.3,0.5,0.2,2,3.6,3.2,2.7,10.3,0.5,0.2,1.4,1
Jordan Mickey,BOS,22,16,7,9,7.2,0.3,0.6,0,1.5,2.6,1.2,2.3,6.1,0.2,0.2,0.6,0.4
Jakob Poeltl,TOR,21,32,22,10,10.8,0.3,1,0.1,1.8,3.4,2,3.2,9.1,0.3,0.2,2,0.8
Caris LeVert,BKN,22,32,4,28,20.1,1.8,0.2,1.3,2.6,7.2,6.8,5.2,19.6,0.2,0.2,1.5,1.6
Lucas Nogueira,TOR,24,48,27,21,21.6,1,1.3,0.6,4.1,6.3,6.7,4.6,18.5,1.8,0.2,2.8,1.2
Jeff Withey,UTA,26,32,22,10,7.9,0.2,0.6,0.2,1.6,3,1.9,2.2,7.8,0.7,0.2,0.9,0.7
Richard Jefferson,CLE,36,54,39,15,19.5,0.9,0.6,0.7,2,7.1,5.1,5.5,16.3,0.1,0.2,1.9,1.3
Darrun Hilliard,DET,23,27,14,13,10.7,0.4,0.2,0.3,0.7,2.9,1.6,2.4,8.4,0,0.2,1.1,0.8
Mike Muscala,ATL,25,50,28,22,19.7,1.1,1.3,0.6,3,7.3,6,5.4,16.9,0.7,0.2,1.6,1.3
Larry Nance Jr.,LAL,24,39,14,25,22.3,1.4,1.3,0.9,4.7,8.7,6.8,6.1,22.5,0.6,0.2,2.4,1.3
Brandon Jennings,NYK,27,56,23,33,25,1.6,0.5,1.4,2.3,8.8,7.5,6.8,24.2,0.1,0.2,1.4,2.2
Thomas Robinson,LAL,25,34,10,24,11,0.7,1.1,0.5,3.2,3.9,3.2,3.1,10.8,0.3,0.2,1.6,1
Marco Belinelli,CHA,30,51,22,29,24.6,1.2,0.9,0.7,2,7,5.9,7.2,21.8,0.2,0.2,1.4,1.8
Juan Hernangomez,DEN,21,40,17,23,12.8,0.7,0.9,0.8,1.6,5.4,3.3,4.1,13.2,0.3,0.2,1.1,1
Anthony Morrow,OKC,31,40,21,19,15.7,0.6,1,0.5,1.6,5.6,3.8,4.4,15.9,0.1,0.2,1,0.9
CJ Watson,ORL,32,46,15,31,16.8,0.9,0.6,1.2,1.1,5.7,5.1,4.6,14.9,0,0.2,1.2,1.4
Paul Zipser,CHI,23,23,11,12,15.2,0.6,0.3,0.8,1.2,4.6,3,4.1,14.5,0.2,0.2,1,0.8
Courtney Lee,NYK,31,52,21,31,31.3,1.8,1.5,1.5,2.7,11,9.7,9.7,31.9,0.3,0.2,1.8,0.8
Darrell Arthur,DEN,28,29,12,17,16.3,0.6,0.6,0.5,1,6,3.9,4.2,15.4,0.6,0.2,2,0.4
Raul Neto,UTA,24,29,18,11,7.3,0.7,0.1,0.3,1.3,1.7,1.5,1.7,6.1,0,0.2,0.9,0.2
Mike Dunleavy,ATL,36,41,29,12,16.1,1,0.5,0.4,1.1,5.8,4.5,3.7,11.5,0.1,0.2,1.3,0.7
Stanley Johnson,DET,20,53,25,28,16.7,0.5,0.4,0.4,1.2,4.3,2.9,4,13.6,0.4,0.2,1.6,0.7
Chris Andersen,CLE,38,12,8,4,9.5,0.2,0.7,0,1.3,3.4,4.8,1.5,6.8,0.6,0.2,1.7,0.8
Rashad Vaughn,MIL,20,24,11,13,11.5,0.6,0.3,0.3,0.8,3.9,2.4,3,11.2,0.2,0.2,0.5,0
Terrence Ross,ORL,26,54,31,23,22.3,2.7,0.8,1.3,2.5,6.2,6.4,5,20.3,0.4,0.2,1.5,0.8
Chris Paul,LAC,31,36,27,9,30.9,2.4,1.2,2,2.9,8.8,7.3,8.4,24.8,0.1,0.2,2.4,4
Thon Maker,MIL,19,30,14,16,7.3,0.6,0.3,0.4,1.1,2.6,1.5,0.9,6.3,0.3,0.2,1.2,0.6
Quincy Acy,BKN,26,18,1,17,10.1,0.7,0.6,0.2,1.6,3.8,2.9,3.2,7.9,0.4,0.2,1.4,1.2
Garrett Temple,SAC,30,49,19,30,26.6,1.7,0.3,1.3,2.2,10,6.6,7.3,19.9,0.4,0.2,2.2,1.4
Tyler Ennis,HOU,22,31,22,9,6.3,0.3,0.4,0.1,1.2,2.8,2.1,2.1,5.6,0,0.2,0.9,0.2
Allen Crabbe,POR,24,56,23,33,28.5,1.6,0.6,1.4,2.4,10,7,8.4,25.3,0.2,0.2,2.2,1.3
Sheldon McClellan,WAS,24,25,15,10,9.9,0.5,0.1,0.4,0.8,3.1,2.6,3,9.1,0.1,0.2,0.6,0.9
Kris Humphries,ATL,32,44,26,18,11.9,0.7,0.6,0.6,1.8,4.2,2.9,3.5,10.1,0.4,0.2,1.3,1.3
Iman Shumpert,CLE,26,51,36,15,25.4,1.3,0.5,1,1.4,8.7,7.6,7.2,21.8,0.3,0.2,2,1.5
Trey Burke,WAS,24,51,32,19,12.6,0.7,0.4,0.5,1.2,4.6,4.2,3.4,10.7,0.1,0.2,1,0.5
Tim Quarterman,POR,22,13,4,9,3.4,0.4,0.3,0.5,0.6,1.2,1.2,0.6,3.2,0.2,0.2,0.3,0.1
Alonzo Gee,DEN,29,13,4,9,6.9,0,0.1,0,0.5,2.6,1.9,2,6.2,0.1,0.2,1.1,0.5
Paul Pierce,LAC,39,13,7,6,11.8,0.6,0.5,0.2,0.3,3.5,3.1,3.1,8.2,0.2,0.2,1.9,0.6
Daniel Ochefu,WAS,23,13,9,4,3.6,0,0.2,0,1.1,1.5,1.5,1.1,2.9,0,0.2,0.9,0.2
Jerian Grant,CHI,24,46,20,26,16.4,1.2,0.5,0.8,1.6,4.7,3.4,4.3,15.1,0.1,0.2,1.6,1.1
Donatas Motiejunas,NOP,26,20,9,11,15.9,0.7,0.9,1,2.7,5.9,4.4,4.6,14.4,0.4,0.2,2.1,1.5
Jared Dudley,PHX,31,40,11,29,20.7,1.6,0.9,0.9,1.6,7.2,5.6,7.4,17.1,0.2,0.2,2.4,1.3
Brian Roberts,CHA,31,20,8,12,7.3,0.3,0,0.1,0.1,2.8,1.7,2.1,6,0,0.2,0.3,1.1
Kyle Singler,OKC,28,27,13,14,10.5,0.2,0.1,0.5,1.1,3.5,2.4,2.2,10.7,0.1,0.1,0.7,0.3
Kevin Seraphin,IND,27,34,13,21,12.2,0.4,1,0.1,3.1,4,3.9,2.7,9.4,0.5,0.1,1.4,0.3
Channing Frye,CLE,33,48,33,15,18.5,1,1.1,0.4,1.6,6.4,4.4,5,16,0.5,0.1,1.9,1.1
Nemanja Bjelica,MIN,28,55,22,33,17.2,0.8,0.7,0.6,2.4,6.1,4.8,4.1,15.6,0.2,0.1,2.3,0.9
Otto Porter,WAS,23,55,34,21,33.9,2.5,2.3,2.3,4.4,10.2,9.1,7.7,30,0.6,0.1,2.5,1.7
Reggie Bullock,DET,25,14,6,8,15.5,0.9,0.4,0.4,2,6.4,3.9,4.8,15.9,0.2,0.1,1.1,0.4
Okaro White,MIA,24,14,12,2,16.2,0.5,0.6,0.5,1,4.8,5,2.6,16.9,0.3,0.1,2,1.4
Joe Ingles,UTA,29,57,35,22,22,1.3,0.4,0.7,1.6,7.2,4.5,4.7,19.1,0.1,0.1,1.9,0.9
Kyle Korver,CLE,35,51,27,24,27,1.1,0.8,0.9,0.6,10.8,7.2,7.6,24,0.4,0.1,1.5,0.9
Kyle Anderson,SAS,23,51,39,12,13.2,0.5,0.5,0.2,1.4,4.2,2.6,3.9,11,0.4,0.1,0.7,0.8
Brandon Rush,MIN,31,23,7,16,18,0.7,0.3,0.3,0.5,6.1,5.8,4.4,16.5,0.5,0.1,0.6,0.4
Mirza Teletovic,MIL,31,46,21,25,16.3,1.1,0.3,1.5,0.9,5.5,4.6,3.8,14.6,0.2,0.1,1.6,0.7
Tomas Satoransky,WAS,25,39,24,15,14.2,0.6,0.2,0.2,1.6,4.3,5,3,11.9,0.1,0.1,1.2,0.9
Marshall Plumlee,NYK,24,8,3,5,8.1,0.1,0.3,0.4,0.8,2.1,3.4,2.5,8.3,0.3,0.1,1.5,1
Joe Johnson,UTA,35,56,34,22,22.5,1,0.8,0.2,2.8,6.9,4.9,4.5,18.9,0.2,0.1,1.1,0.8
Damian Jones,GSW,21,8,6,2,5.7,0.3,0.6,0,0.8,2.5,1.3,3.1,5.5,0.3,0.1,1.1,0.4
Meyers Leonard,POR,24,48,19,29,16.3,0.9,0.6,0.1,1.1,5.1,4.1,4.7,14.7,0.4,0.1,2.3,1.1
Skal Labissiere,SAC,20,8,1,7,6.5,0.1,1.5,0,1.3,2.3,3.1,0.8,4,0,0.1,0.1,0.9
Joe Young,IND,24,25,12,13,4.9,0.8,0.1,0.4,0.8,1.3,1.4,1.4,4.2,0,0.1,0.2,0.4
Nicolas Laprovittola,SAS,27,18,15,3,9.7,1.1,0.3,0.6,1,3.4,2.7,2.4,8.8,0.1,0.1,1.1,0.6
Metta World Peace,LAL,37,18,4,14,4.5,0.1,0,0.1,0.3,1.4,2.2,1.3,4.6,0.1,0.1,0.7,0.2
